,classifier,score
0,linear,0.004450696728822033
1,linear,0.004457990882301417
2,linear,0.0008646556551228228
3,linear,0.0014299600529366933
4,linear,0.0037931569957173885
5,ridge,0.004423469376491152
6,ridge,0.004471915318552528
7,ridge,0.0008584106888005572
8,ridge,0.0014373771444544563
9,ridge,0.00379235456930353
10,lasso,0.002860604093531845
11,lasso,0.007699742053042436
12,lasso,0.0006691926973058719
13,lasso,0.003784129522005381
14,lasso,0.0034872687123013316
15,elastic_net,0.0028013824108582244
16,elastic_net,0.007534569308379726
17,elastic_net,0.0006932552749213892
18,elastic_net,0.003743494478100368
19,elastic_net,0.0036421225328888054
20,lars,0.00445069672882213
21,lars,0.0044579908823014856
22,lars,0.0008646556551228253
23,lars,0.001429960052936702
24,lars,0.0037931569957173924
25,lasso_lars,0.006983846458025153
26,lasso_lars,0.011804927366863905
27,lasso_lars,0.001474108958025148
28,lasso_lars,0.010468794712463016
29,lasso_lars,0.0029321191133505915
30,orthogonal_mp,0.0028874656476570036
31,orthogonal_mp,0.007732279405687855
32,orthogonal_mp,0.000680469774411539
33,orthogonal_mp,0.0037382716583781615
34,orthogonal_mp,0.004131876417839877
35,bayesian_ridge,0.004307524711744868
36,bayesian_ridge,0.004712437607705336
37,bayesian_ridge,0.0008011337704806056
38,bayesian_ridge,0.0015593366471403592
39,bayesian_ridge,0.0037858941915330344
40,ard_regression,0.008726661861320322
41,ard_regression,0.009170394800460425
42,ard_regression,0.003282829377947216
43,ard_regression,0.008147735322157092
44,ard_regression,0.0032949067731661
