,Index,batch_size,num_nodes,failure_rate,failure_duration,accuracy,epochs
0,0,64.0,1.0,0.0,0.0,-1.0,-1
1,1,64.0,1.0,0.0,0.0,-1.0,-1
2,2,64.0,1.0,0.0,0.0,-1.0,-1
3,3,64.0,1.0,0.0,20.0,-1.0,-1
4,4,64.0,1.0,0.0,20.0,-1.0,-1
5,5,64.0,1.0,0.0,20.0,-1.0,-1
6,6,64.0,1.0,0.5,0.0,-1.0,-1
7,7,64.0,1.0,0.5,0.0,-1.0,-1
8,8,64.0,1.0,0.5,0.0,-1.0,-1
9,9,64.0,1.0,0.5,20.0,-1.0,-1
10,10,64.0,1.0,0.5,20.0,-1.0,-1
11,11,64.0,1.0,0.5,20.0,-1.0,-1
12,12,64.0,4.0,0.0,0.0,-1.0,-1
13,13,64.0,4.0,0.0,0.0,-1.0,-1
14,14,64.0,4.0,0.0,0.0,-1.0,-1
15,15,64.0,4.0,0.0,20.0,-1.0,-1
16,16,64.0,4.0,0.0,20.0,-1.0,-1
17,17,64.0,4.0,0.0,20.0,-1.0,-1
18,18,64.0,4.0,0.5,0.0,-1.0,-1
19,19,64.0,4.0,0.5,0.0,-1.0,-1
20,20,64.0,4.0,0.5,0.0,-1.0,-1
21,21,64.0,4.0,0.5,20.0,-1.0,-1
22,22,64.0,4.0,0.5,20.0,-1.0,-1
23,23,64.0,4.0,0.5,20.0,-1.0,-1
24,24,256.0,1.0,0.0,0.0,-1.0,-1
25,25,256.0,1.0,0.0,0.0,-1.0,-1
26,26,256.0,1.0,0.0,0.0,-1.0,-1
27,27,256.0,1.0,0.0,20.0,-1.0,-1
28,28,256.0,1.0,0.0,20.0,-1.0,-1
29,29,256.0,1.0,0.0,20.0,-1.0,-1
30,30,256.0,1.0,0.5,0.0,-1.0,-1
31,31,256.0,1.0,0.5,0.0,-1.0,-1
32,32,256.0,1.0,0.5,0.0,-1.0,-1
33,33,256.0,1.0,0.5,20.0,-1.0,-1
34,34,256.0,1.0,0.5,20.0,-1.0,-1
35,35,256.0,1.0,0.5,20.0,-1.0,-1
36,36,256.0,4.0,0.0,0.0,-1.0,-1
37,37,256.0,4.0,0.0,0.0,-1.0,-1
38,38,256.0,4.0,0.0,0.0,-1.0,-1
39,39,256.0,4.0,0.0,20.0,-1.0,-1
40,40,256.0,4.0,0.0,20.0,-1.0,-1
41,41,256.0,4.0,0.0,20.0,-1.0,-1
42,42,256.0,4.0,0.5,0.0,-1.0,-1
43,43,256.0,4.0,0.5,0.0,-1.0,-1
44,44,256.0,4.0,0.5,0.0,-1.0,-1
45,45,256.0,4.0,0.5,20.0,-1.0,-1
46,46,256.0,4.0,0.5,20.0,-1.0,-1
47,47,256.0,4.0,0.5,20.0,-1.0,-1
