,batch_size,num_nodes,memory_size,accuracy
0,64.0,1.0,1,0.99
1,64.0,1.0,1,0.99
2,64.0,1.0,1,0.99
3,64.0,1.0,1,0.99
4,64.0,1.0,1,0.99
5,64.0,1.0,2,0.99
6,64.0,1.0,2,0.99
7,64.0,1.0,2,0.99
8,64.0,1.0,2,0.99
9,64.0,1.0,2,0.99
10,64.0,1.0,1,0.99
11,64.0,1.0,1,0.99
12,64.0,1.0,1,0.99
13,64.0,1.0,1,0.99
14,64.0,1.0,1,0.99
15,64.0,1.0,4,0.99
16,64.0,1.0,4,0.99
17,64.0,1.0,4,0.99
18,64.0,1.0,4,0.99
19,64.0,1.0,4,0.99
20,64.0,4.0,1,0.99
21,64.0,4.0,1,0.99
22,64.0,4.0,1,0.99
23,64.0,4.0,1,0.99
24,64.0,4.0,1,0.99
25,64.0,4.0,2,0.99
26,64.0,4.0,2,0.99
27,64.0,4.0,2,0.99
28,64.0,4.0,2,0.99
29,64.0,4.0,2,0.99
30,64.0,4.0,1,0.99
31,64.0,4.0,1,0.99
32,64.0,4.0,1,0.99
33,64.0,4.0,1,0.99
34,64.0,4.0,1,0.99
35,64.0,4.0,4,0.99
36,64.0,4.0,4,0.99
37,64.0,4.0,4,0.99
38,64.0,4.0,4,0.99
39,64.0,4.0,4,0.99
40,256.0,1.0,1,0.99
41,256.0,1.0,1,0.99
42,256.0,1.0,1,0.99
43,256.0,1.0,1,0.99
44,256.0,1.0,1,0.99
45,256.0,1.0,2,0.99
46,256.0,1.0,2,0.99
47,256.0,1.0,2,0.99
48,256.0,1.0,2,0.99
49,256.0,1.0,2,0.99
50,256.0,1.0,1,0.99
51,256.0,1.0,1,0.99
52,256.0,1.0,1,0.99
53,256.0,1.0,1,0.99
54,256.0,1.0,1,0.99
55,256.0,1.0,4,0.99
56,256.0,1.0,4,0.99
57,256.0,1.0,4,0.99
58,256.0,1.0,4,0.99
59,256.0,1.0,4,0.99
60,256.0,4.0,1,0.99
61,256.0,4.0,1,0.99
62,256.0,4.0,1,0.99
63,256.0,4.0,1,0.99
64,256.0,4.0,1,0.99
65,256.0,4.0,2,0.99
66,256.0,4.0,2,0.99
67,256.0,4.0,2,0.99
68,256.0,4.0,2,0.99
69,256.0,4.0,2,0.99
70,256.0,4.0,1,0.99
71,256.0,4.0,1,0.99
72,256.0,4.0,1,0.99
73,256.0,4.0,1,0.99
74,256.0,4.0,1,0.99
75,256.0,4.0,4,0.99
76,256.0,4.0,4,0.99
77,256.0,4.0,4,0.99
78,256.0,4.0,4,0.97
79,256.0,4.0,4,0.98
